filename,width,height,class,xmin,ymin,xmax,ymax
rotated_by_15_Screen Shot 2018-06-12 at 8.51.30 PM.png,544,412,Rotten Banana,34,63,496,379
rotated_by_15_Screen Shot 2018-06-12 at 8.51.30 PM.png,544,412,Rotten Banana,500,46,501,64
rotated_by_15_Screen Shot 2018-06-12 at 8.49.30 PM.png,332,366,Rotten Banana,68,21,282,353
Screen Shot 2018-06-12 at 9.40.56 PM.png,338,394,Fresh Banana,6,3,328,381
rotated_by_15_Screen Shot 2018-06-12 at 8.50.54 PM.png,632,428,Rotten Banana,38,75,597,378
Screen Shot 2018-06-12 at 9.41.03 PM.png,536,456,Fresh Banana,5,14,536,431
rotated_by_15_Screen Shot 2018-06-12 at 8.48.46 PM.png,578,396,Rotten Banana,51,57,551,358
Screen Shot 2018-06-12 at 9.40.43 PM.png,306,238,Fresh Banana,4,7,287,201
rotated_by_15_Screen Shot 2018-06-12 at 8.48.32 PM.png,594,346,Rotten Banana,64,66,521,322
rotated_by_15_Screen Shot 2018-06-12 at 8.47.14 PM.png,626,398,Rotten Banana,19,86,623,371
rotated_by_15_Screen Shot 2018-06-12 at 8.49.52 PM.png,628,374,Rotten Banana,2,44,602,345
rotated_by_15_Screen Shot 2018-06-12 at 8.49.20 PM.png,574,400,Rotten Banana,17,86,503,374
rotated_by_15_Screen Shot 2018-06-12 at 8.47.41 PM.png,682,466,Rotten Banana,8,82,652,433
Screen Shot 2018-06-12 at 9.40.22 PM.png,408,248,Fresh Banana,23,2,390,230
rotated_by_15_Screen Shot 2018-06-12 at 8.47.28 PM.png,652,428,Rotten Banana,31,24,600,407
Screen Shot 2018-06-12 at 9.42.18 PM.png,494,350,Fresh Banana,6,14,458,291
rotated_by_15_Screen Shot 2018-06-12 at 8.50.04 PM.png,306,354,Rotten Banana,80,27,280,354
rotated_by_15_Screen Shot 2018-06-12 at 8.50.40 PM.png,620,372,Rotten Banana,23,17,590,320
Screen Shot 2018-06-12 at 9.41.57 PM.png,486,478,Fresh Banana,37,4,483,470
Screen Shot 2018-06-12 at 9.42.09 PM.png,572,440,Fresh Banana,21,8,549,432
Screen Shot 2018-06-12 at 9.40.38 PM.png,326,238,Fresh Banana,15,17,319,228
rotated_by_15_Screen Shot 2018-06-12 at 8.47.57 PM.png,258,476,Rotten Banana,8,5,252,458
Screen Shot 2018-06-12 at 9.38.38 PM.png,422,386,Fresh Banana,3,7,420,379
Screen Shot 2018-06-12 at 9.38.22 PM.png,524,412,Fresh Banana,14,15,506,412
Screen Shot 2018-06-12 at 9.39.28 PM.png,466,390,Fresh Banana,10,21,465,388
Screen Shot 2018-06-12 at 9.41.38 PM.png,418,232,Fresh Banana,53,20,357,169
Screen Shot 2018-06-12 at 9.39.53 PM.png,280,302,Fresh Banana,55,10,215,295
rotated_by_15_Screen Shot 2018-06-12 at 8.50.47 PM.png,696,388,Rotten Banana,29,78,670,326
Screen Shot 2018-06-12 at 9.39.00 PM.png,644,424,Fresh Banana,1,1,640,424
rotated_by_15_Screen Shot 2018-06-12 at 8.50.26 PM.png,632,432,Rotten Banana,36,32,576,399
Screen Shot 2018-06-12 at 9.40.10 PM.png,600,468,Fresh Banana,20,24,589,439
Screen Shot 2018-06-12 at 9.40.32 PM.png,292,218,Fresh Banana,3,5,261,190
rotated_by_15_Screen Shot 2018-06-12 at 8.50.20 PM.png,576,414,Rotten Banana,56,73,554,353
Screen Shot 2018-06-12 at 9.41.18 PM.png,538,352,Fresh Banana,15,9,503,336
rotated_by_15_Screen Shot 2018-06-12 at 8.51.21 PM.png,586,440,Rotten Banana,5,43,539,426
rotated_by_15_Screen Shot 2018-06-12 at 8.49.41 PM.png,594,386,Rotten Banana,34,12,537,386
rotated_by_15_Screen Shot 2018-06-12 at 8.49.41 PM.png,594,386,Rotten Banana,469,283,469,286
Screen Shot 2018-06-12 at 9.42.29 PM.png,298,484,Fresh Banana,6,11,246,466
rotated_by_15_Screen Shot 2018-06-12 at 8.49.25 PM.png,508,304,Rotten Banana,53,46,451,271
Screen Shot 2018-06-12 at 9.38.51 PM.png,380,468,Fresh Banana,5,9,380,432
rotated_by_15_Screen Shot 2018-06-12 at 8.48.24 PM.png,740,392,Rotten Banana,34,103,563,361
Screen Shot 2018-06-12 at 9.42.03 PM.png,608,402,Fresh Banana,19,12,578,369
Screen Shot 2018-06-12 at 9.39.17 PM.png,442,368,Fresh Banana,12,14,425,347
Screen Shot 2018-06-12 at 9.40.02 PM.png,766,412,Fresh Banana,10,3,758,403
rotated_by_15_Screen Shot 2018-06-12 at 8.48.07 PM.png,644,418,Rotten Banana,19,68,587,340
Screen Shot 2018-06-12 at 9.39.08 PM.png,658,414,Fresh Banana,6,36,654,414
rotated_by_15_Screen Shot 2018-06-12 at 8.50.15 PM.png,696,500,Rotten Banana,22,19,640,491
rotated_by_15_Screen Shot 2018-06-12 at 8.48.40 PM.png,598,406,Rotten Banana,27,70,539,320
Screen Shot 2018-06-12 at 9.40.49 PM.png,312,184,Fresh Banana,24,19,297,182
rotated_by_15_Screen Shot 2018-06-12 at 8.49.15 PM.png,708,436,Rotten Banana,49,60,672,378
rotated_by_15_Screen Shot 2018-06-12 at 8.49.04 PM.png,264,190,Rotten Banana,31,17,251,142
Screen Shot 2018-06-12 at 9.38.29 PM.png,364,270,Fresh Banana,4,22,360,251
